Decision-Maker,++,+,0,-,--,Target (Y/N),Based on,Confidence,Evidence items,Profile,Comments,Actual vote,Evaluate
"Jim Shannon (Democratic Unionist Party, Strangford)",1,,,,,,"a speech, 4 years ago","moderate (consistent speeches, but no vote on record)",5,mp-votes.html#mp-4131,"2025-01-09 DEBATE: Spoke: Impact of Conflict on Women and Girls (re: freedom of religion or belief) ""One of the most harrowing manifestations of freedom of religion or belief violations in conflict settings is the targeted abduction, forced marriage and conversion of women and girls from religious minority communities. In her introduction to this debate, the..."" [+: Condemns forced marriage and conversion of minority women, aligning with family and religious freedom values] | 2024-11-28 DEBATE: Spoke:  Pakistan: Freedom of Religion (re: blasphemy) ""I have a couple of asks for the Minister—more than a couple; it always is with me, but I do so respectfully and in a positive fashion. Can we advocate for blasphemy law reform by working with international allies to pressure Pakistan to reform those laws,..."" [+: Advocates for religious freedom abroad by pressing Pakistan on blasphemy law reform] | 2023-03-29 DEBATE: Spoke: Human Trafficking and  Modern Slavery (re: freedom of religion or belief) ""Freedom of religion or belief is a cornerstone human right, one that I adhere to and often speak about in this place, as do others. That cornerstone right also lays the foundation for other human rights; we cannot divorce the two—the two are married. Human..."" [+: Champions freedom of religion or belief as cornerstone human right needing protection] | 2022-10-11 DEBATE: Spoke: Blasphemy Laws and Allegations: Commonwealth Countries ""The implementation of sharia-based blasphemy laws curtails the liberty of all in Nigeria. Everyone is subject to an interpretation of the law—not necessarily the law of the land—that stands in stark contradiction to Nigeria’s constitution, which protects..."" [++: Leads debate condemning blasphemy laws, strongly defends religious freedom] | 2022-07-06 DEBATE: Spoke: Strategy for International Development (re: freedom of religion or belief) ""As chair of the all-party parliamentary group for international freedom of religion or belief, I am frequently reminded of the dire situation that so many women and girls face around the world. It is always hard to listen to such things, and I find it..."" [0: General remarks on freedom of religion, no clear policy direction stated]",,
"Fabian Hamilton (Labour, Leeds North East)",1,,,,,,"a speech, 6 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-415,"2020-03-12 DEBATE: Spoke: Freedom of Religion or Belief ""In 2020, 260 million people—approximately 10% of all Christians in the world—were persecuted for their religious beliefs, which was an increase from 245 million in 2019, and approximately 215 million in 2018. According to Open Doors, 11 countries now fall in..."" [++: Highlights global rise in Christian persecution, advocating for freedom of religion]",,
"Jess Brown-Fuller (Liberal Democrat, Chichester)",1,,,,,,"a speech, 14 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5335,"2025-06-26 DEBATE: Spoke: IVF Egg Donation: Young Women ""I will briefly touch on an equally complex and emotionally charged topic: surrogacy and legal parenthood from the point of birth. For the sake of the child, the surrogate and the legal parents, the matter needs to be handled with great sensitivity. The..."" [++: Warns against commercialising egg donation and surrogacy, favours protective regulation]",,
"Martin Wrigley (Liberal Democrat, Newton Abbot)",1,,,,,,"a speech, 13 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5111,"2025-07-17 DEBATE: Spoke: Freedom of Religion or Belief: UK Foreign Policy ""Where religious legislation remains stagnant or regressive, I see little evidence that UK engagement has shifted the dial. I urge the Government to take a far more active and co-ordinated approach, not just to maintain relationships but to use them to drive..."" [++: Strongly urges more active UK government action to champion freedom of religion or belief abroad]",,
"Claire Hazelgrove (Labour, Filton and Bradley Stoke)",,1,,,,,"a question, 8 weeks ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5306,"2026-07-01 PQ: Surrogacy ""To ask the Secretary of State for Health and Social Care, what his Department's planned timetable is for publishing a response to the Law Commission’s 2023 report on surrogacy; and what steps it is taking to address concerns about the impact of potential"" [+: Flags concerns about impact of surrogacy law reform, aligning with caution on commercial surrogacy]",,
"Dr Kieran Mullan (Conservative, Bexhill and Battle)",,1,,,,,"a speech, 6 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4860,"2026-03-12 DEBATE: Spoke: Marriage Regulations (re: marriage law) ""However, in pursuing such reforms, we must be careful that the pendulum does not swing too far in the other direction. It is worth remembering that the question of modernising marriage law is not new; over the past decade, successive Governments have..."" [+: Cautious tone, upholds seriousness and integrity of marriage as institution]",,
"Jenny Riddell-Carpenter (Labour, Suffolk Coastal)",,1,,,,,"a question, 8 months ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-5160,"2026-01-05 PQ: Mental Health Services: Children and Young People (re: family breakdown) ""To ask the Secretary of State for Health and Social Care, what steps he is taking to ensure timely access to mental health support for children and parents affected by family breakdown and parental alienation."" [+: Raises concern for families affected by breakdown, supportive of family wellbeing]",,
"Joy Morrissey (Conservative, Beaconsfield)",,1,,,,,"a speech, 6 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4759,"2020-12-03 DEBATE: Spoke:  Nurseries and Early Years Settings (re: family breakdown) ""The purpose of family hubs is to co-locate and co-ordinate all family services available in a community and provide a visible and welcoming access point for any parent—mother and father—to appropriate support services or information about family-related..."" [+: Supports family hubs helping parents, aligns with pro-family position]",,
"Kim Johnson (Labour, Liverpool Riverside)",,1,,,,,"a speech, 6 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4824,"2020-10-06 DEBATE: Spoke: Gang-associated Girls (re: family breakdown) ""Social and criminal justice go hand in hand. Crime disproportionately affects poorer communities and those who commit crime are more likely to suffer from the causes of social breakdown. Gangs thrive when communities experience low employment, high family..."" [+: Links family breakdown to gang involvement, implicitly valuing family stability]",,
"Layla Moran (Liberal Democrat, Oxford West and Abingdon)",,1,,,,,"a speech, 5 years ago",thin (only 1 evidence item on record),1,mp-votes.html#mp-4656,"2021-09-08 DEBATE: Spoke:  Rough Sleeping (re: family breakdown) ""We also need to appreciate, Ms Rees, that a rough sleeper could be us. They could be our friends or our family members. Their stories highlight that often what causes someone to become a rough sleeper is a series of events that compound—family breakdown, job..."" [+: Identifies family breakdown as key cause of rough sleeping, implicitly valuing family stability]",,
