Decision-Maker,++,+,0,-,--,Target (Y/N),Comments
"Carla Lockhart (Democratic Unionist Party, Upper Bann)",1,,,,,,"2026-05-13 EDM-SIGNED: Signed EDM: Conviction for speech within a safe access zone [++: Criticises safe access zone law for criminalising unrelated religious speech near abortion clinic] | 2026-04-27 EDM: Sponsored EDM: Impact of the Abortion Act 1967 on levels of abortion (5 signatures) [++: Laments abortion numbers, frames abortion as tragedy, calls for support to help women choose life] | 2026-03-02 PQ: Abortion: Gender [unscored] | 2025-11-05 PQ: Offences against Children (re: Crime and Policing) [unscored] | 2025-11-05 PQ: Children: Protection (re: Crime and Policing) [unscored] | 2025-11-05 PQ: Children: Protection (re: Crime and Policing) [unscored] | 2023-11-29 EDM: Sponsored EDM: Verification of gestational age for at-home abortions (20 signatures) [unscored] | 2023-01-23 DEBATE: Spoke: Northern Ireland Budget Bill (re: abortion) [unscored] | 2023-01-11 EDM-SIGNED: Signed EDM: Arrest for silent prayer [unscored] | 2022-10-18 DEBATE: Spoke:  Public Order Bill (re: abortion) [++: Argues against new clause creating abortion buffer zones, pro-life aligned] | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland; free vote] | 2022-05-10 EDM: Sponsored EDM: Abortion time limits and fetal viability (9 signatures) [unscored] | 2021-05-11 EDM: Sponsored EDM: At home abortions (22 signatures) [unscored] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2021-04-26 DEBATE: Spoke: Abortion (Northern Ireland) Regulations 2021 [++: Explicitly pro-life, urges pathways to choose life and voting against abortion regulations] | 2021-03-12 PQ: Abortion: Childbirth [unscored] | 2021-01-12 EDM: Sponsored EDM: Fetal pain (29 signatures) (re: abortion) [unscored] | 2020-11-23 PQ: Abortion: Disability [unscored] | 2020-11-09 PQ: Developing Countries: Abortion [unscored] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote] | 2020-06-02 EDM: Sponsored EDM: UK law on disability-selective abortion (42 signatures) [unscored]"
"Matt Vickers (Conservative, Stockton West)",1,,,,,,"2026-06-01 DEBATE: Spoke: Child Sexual Offender Data (re: child protection) [0: Concerns data transparency on grooming gangs, unrelated to listed areas] | 2025-10-15 DEBATE: Spoke: Knife Crime (re: non-crime hate incident) [unscored] | 2025-09-03 PQ: Knives: Import Controls (re: age verification) [unscored] | 2025-09-03 PQ: Knives: Import Controls (re: age verification) [unscored] | 2025-06-18 DEBATE: Spoke:  Crime and Policing Bill [+: Supports removing recording of non-crime hate incidents, favouring free speech] | 2025-05-13 DEBATE: Spoke: Crime and Policing Bill (Fifteenth sitting) [unscored] | 2025-05-08 DEBATE: Spoke: Crime and Policing Bill (Thirteenth sitting) [0: Discusses knife sale restrictions, unrelated to abortion or free speech directly] | 2025-04-29 DEBATE: Spoke: Crime and Policing Bill (Twelfth sitting) [unscored] | 2025-04-03 DEBATE: Spoke: Crime and Policing Bill (Sixth sitting) [0: Discusses child exploitation prosecutions, no clear stance on listed CitizenGO areas] | 2025-04-03 DEBATE: Spoke: Crime and Policing Bill (Sixth sitting) [unscored] | 2025-04-03 DEBATE: Spoke: Crime and Policing Bill (Fifth sitting) [0: Debate on retail worker assaults, unrelated to abortion or other tracked issues] | 2025-04-01 DEBATE: Spoke: Crime and Policing Bill (Third sitting) [0: Concerns anti-social behaviour orders, unrelated to abortion policy area] | 2025-03-27 DEBATE: Spoke: Crime and Policing Bill (Second sitting) [unscored] | 2025-03-10 DEBATE: Spoke:  Crime and Policing Bill [unscored] | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland; free vote] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote]"
"Sir Edward Leigh (Conservative, Gainsborough)",1,,,,,,"2025-06-20 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill [++: Explicitly opposes assisted dying Bill, citing NHS principle of preserving life] | 2023-11-29 EDM-SIGNED: Signed EDM: Verification of gestational age for at-home abortions [unscored] | 2023-03-08 PQ: Abortion: Clinics [unscored] | 2023-03-08 PQ: Abortion: Clinics [unscored] | 2023-03-08 PQ: Public Spaces Protection Orders (re: Crime and Policing) [unscored] | 2022-11-28 DEBATE: Spoke: Legal Rights to Access Abortion [unscored] | 2022-10-18 DEBATE: Spoke:  Public Order Bill (re: abortion) [++: Opposes buffer zones as disproportionate to free expression, defends pro-life protest rights] | 2022-07-04 DEBATE: Spoke: Assisted Dying [++: Explicitly states a pro-life view and opposes assisted dying as death on demand] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [unscored] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2020-12-14 PQ: Abortion: Drugs [unscored] | 2020-12-14 PQ: Abortion: Safety [unscored] | 2020-11-03 PQ: Abortion: Private Sector [unscored] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote] | 2020-02-11 PQ: Abortion [unscored] | 2020-02-11 PQ: Abortion [unscored] | 2020-02-07 PQ: Abortion: Protest [unscored]"
"Jim Shannon (Democratic Unionist Party, Strangford)",1,,,,,,"2026-05-13 EDM-SIGNED: Signed EDM: Conviction for speech within a safe access zone [++: Criticises safe access zone law for criminalising unrelated religious speech near abortion clinic] | 2026-04-27 EDM-SIGNED: Signed EDM: Impact of the Abortion Act 1967 on levels of abortion [++: Laments abortion numbers, frames abortion as tragedy, calls for support to help women choose life] | 2026-03-19 PQ: Organised Crime (re: border security) [unscored] | 2025-09-10 DEBATE: Spoke: Equality Act 2010: Impact on  British Society [unscored] | 2024-01-17 DEBATE: Spoke: Public Sector Pay 2024-25 (re: abortion) [unscored] | 2023-11-29 EDM-SIGNED: Signed EDM: Verification of gestational age for at-home abortions [unscored] | 2023-01-23 DEBATE: Spoke: Northern Ireland Budget Bill (re: abortion) [unscored] | 2023-01-11 EDM-SIGNED: Signed EDM: Arrest for silent prayer [unscored] | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland; free vote] | 2022-05-10 EDM-SIGNED: Signed EDM: Abortion time limits and fetal viability [unscored] | 2021-10-26 DEBATE: Spoke:  Northern Ireland (Ministers, Elections and Petitions of Concern) Bill (re: abortion) [unscored] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [unscored] | 2021-01-12 EDM-SIGNED: Signed EDM: Fetal pain (re: abortion) [unscored] | 2020-12-06 PQ: Abortion: Disability [unscored] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote] | 2020-06-02 EDM-SIGNED: Signed EDM: UK law on disability-selective abortion [unscored]"
"Bob Blackman (Conservative, Harrow East)",1,,,,,,"2026-04-27 EDM-SIGNED: Signed EDM: Impact of the Abortion Act 1967 on levels of abortion [++: Laments abortion numbers, frames abortion as tragedy, calls for support to help women choose life] | 2024-02-06 PQ: Abortion: Demonstrations [unscored] | 2023-11-29 EDM-SIGNED: Signed EDM: Verification of gestational age for at-home abortions [unscored] | 2023-01-11 EDM-SIGNED: Signed EDM: Arrest for silent prayer [unscored] | 2022-09-26 PQ: Abortion: Telemedicine [unscored] | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland; free vote] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [unscored] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2021-01-12 EDM-SIGNED: Signed EDM: Fetal pain (re: abortion) [unscored] | 2020-06-24 VOTE: Voted No: Ten Minute Rule Motion: Demonstrations (Abortion Clinics)  [+: Opposed motion introducing buffer zones around abortion clinics; free vote] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote] | 2020-06-02 EDM-SIGNED: Signed EDM: UK law on disability-selective abortion [unscored]"
"Danny Kruger (Reform UK, East Wiltshire)",1,,,,,,"2025-03-19 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Twenty-seventh sitting) [unscored] | 2025-03-19 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Twenty-seventh sitting) [unscored] | 2025-03-18 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Twenty-fifth sitting) [unscored] | 2025-03-18 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Twenty-fifth sitting) [unscored] | 2025-03-04 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Seventeenth sitting) [++: Argues against compulsory referral, defending doctors' conscientious objection] | 2025-02-12 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill (Eleventh sitting) [unscored] | 2023-03-07 DEBATE: Spoke: Public Order Bill (re: abortion) [++: Opposes criminalising prayer/private thought near clinics, defends pro-life speech] | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland; free vote] | 2022-05-23 DEBATE: Spoke:  Independent Review of Children’s  Social Care (re: Crime and Policing) [0: About children's social care funding, no abortion content] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2020-06-24 VOTE: Voted No: Ten Minute Rule Motion: Demonstrations (Abortion Clinics)  [+: Opposed motion introducing buffer zones around abortion clinics; free vote] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote]"
"Gavin Robinson (Democratic Unionist Party, Belfast East)",1,,,,,,"2026-05-13 EDM-SIGNED: Signed EDM: Conviction for speech within a safe access zone [++: Criticises safe access zone law for criminalising unrelated religious speech near abortion clinic] | 2023-11-29 EDM-SIGNED: Signed EDM: Verification of gestational age for at-home abortions [unscored] | 2023-01-11 EDM-SIGNED: Signed EDM: Arrest for silent prayer [unscored] | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland; free vote] | 2021-07-05 DEBATE: Spoke:  Police, Crime, Sentencing and Courts Bill (re: buffer zone) [unscored] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [unscored] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2021-01-12 EDM-SIGNED: Signed EDM: Fetal pain (re: abortion) [unscored] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote] | 2020-06-02 EDM-SIGNED: Signed EDM: UK law on disability-selective abortion [unscored]"
"Mr Gregory Campbell (Democratic Unionist Party, East Londonderry)",1,,,,,,"2026-05-13 EDM: Sponsored EDM: Conviction for speech within a safe access zone (6 signatures) [++: Criticises safe access zone law for criminalising unrelated religious speech near abortion clinic] | 2023-11-29 EDM-SIGNED: Signed EDM: Verification of gestational age for at-home abortions [unscored] | 2023-01-11 EDM: Sponsored EDM: Arrest for silent prayer (7 signatures) [unscored] | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland; free vote] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [unscored] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2021-01-12 EDM-SIGNED: Signed EDM: Fetal pain (re: abortion) [unscored] | 2020-12-17 PQ: Abortion: Drugs [unscored] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote] | 2020-06-02 EDM-SIGNED: Signed EDM: UK law on disability-selective abortion [unscored]"
"Andrew Rosindell (Reform UK, Romford)",1,,,,,,"2024-12-04 PQ: Abortion: Drugs [unscored] | 2024-12-04 PQ: Abortion: Drugs [unscored] | 2024-01-15 PQ: Abortion: Northern Ireland [unscored] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [unscored] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2021-01-12 EDM-SIGNED: Signed EDM: Fetal pain (re: abortion) [unscored] | 2020-09-17 PQ: Abortion: Coronavirus [unscored] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote] | 2020-06-02 EDM-SIGNED: Signed EDM: UK law on disability-selective abortion [unscored]"
"Rachael Maskell (Labour (Co-op), York Central)",1,,,,,,"2026-04-27 EDM-SIGNED: Signed EDM: Impact of the Abortion Act 1967 on levels of abortion [++: Laments abortion numbers, frames abortion as tragedy, calls for support to help women choose life] | 2023-11-29 EDM-SIGNED: Signed EDM: Verification of gestational age for at-home abortions [unscored] | 2022-06-22 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2022 (SI, 2022, No. 554) [++: Voted against regulations extending abortion provision in Northern Ireland; free vote] | 2022-05-10 EDM-SIGNED: Signed EDM: Abortion time limits and fetal viability [unscored] | 2022-03-03 PQ: Alcoholic Drinks: Young People (re: Crime and Policing) [unscored] | 2022-03-03 PQ: Alcoholic Drinks: Young People (re: Crime and Policing) [unscored] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [unscored] | 2021-04-27 VOTE: Voted No: Abortion (Northern Ireland) Regulations 2021 [++: Voted against extending abortion regulations to Northern Ireland, pro-life aligned; free vote] | 2020-06-17 VOTE: Voted No: Abortion (Northern Ireland) (No. 2) Regulations 2020 [++: Voted against regulations that extended abortion provision in Northern Ireland; free vote]"
